/home/runner/work/wids/wids/input/wids.xml:83:42: error: element "chapter" not allowed anywhere; expected element "RevisionHistory", "include-pkg" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:103:15: error: element "chapter" not allowed anywhere; expected element "RevisionHistory", "include-pkg" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:132:18: error: element "chapter" not allowed anywhere; expected element "RevisionHistory", "include-pkg" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:134:57: error: element "subsection" not allowed anywhere; expected text, element "_", "assignable", "audit-table", "choice", "class-description", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "f-component", "figure", "no-link", "refinement", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:141:39: error: element "subsection" not allowed anywhere; expected text, element "_", "assignable", "audit-table", "choice", "class-description", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "f-component", "figure", "no-link", "refinement", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:145:15: error: element "subsection" not allowed anywhere; expected text, element "_", "assignable", "audit-table", "choice", "class-description", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "f-component", "figure", "no-link", "refinement", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:149:15: error: element "subsection" not allowed anywhere; expected text, element "_", "assignable", "audit-table", "choice", "class-description", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "f-component", "figure", "no-link", "refinement", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:152:38: error: element "subsection" not allowed anywhere; expected text, element "_", "assignable", "audit-table", "choice", "class-description", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "f-component", "figure", "no-link", "refinement", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:160:102: error: element "subsection" not allowed anywhere; expected text, element "_", "assignable", "audit-table", "choice", "class-description", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "f-component", "figure", "no-link", "refinement", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:161:71: error: element "subsection" not allowed anywhere; expected text, element "_", "assignable", "audit-table", "choice", "class-description", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "f-component", "figure", "no-link", "refinement", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:163:15: error: element "subsection" not allowed anywhere; expected text, element "_", "assignable", "audit-table", "choice", "class-description", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "f-component", "figure", "no-link", "refinement", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:177:17: error: element "subsection" not allowed anywhere; expected text, element "_", "assignable", "audit-table", "choice", "class-description", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "f-component", "figure", "no-link", "refinement", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:180:62: error: element "chapter" not allowed anywhere; expected element "RevisionHistory", "include-pkg" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:182:45: error: attribute "title" not allowed here; expected attribute "name"
/home/runner/work/wids/wids/input/wids.xml:182:45: error: element "cclaim" missing required attribute "name"
/home/runner/work/wids/wids/input/wids.xml:192:45: error: attribute "title" not allowed here; expected attribute "name"
/home/runner/work/wids/wids/input/wids.xml:192:45: error: element "cclaim" missing required attribute "name"
/home/runner/work/wids/wids/input/wids.xml:196:38: error: attribute "title" not allowed here; expected attribute "name"
/home/runner/work/wids/wids/input/wids.xml:196:38: error: element "cclaim" missing required attribute "name"
/home/runner/work/wids/wids/input/wids.xml:199:15: error: element "cclaim" missing required attribute "name"
/home/runner/work/wids/wids/input/wids.xml:201:58: error: element "chapter" not allowed anywhere; expected element "RevisionHistory", "include-pkg" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:206:37: error: element "chapter" not allowed anywhere; expected element "RevisionHistory", "include-pkg" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:211:81: error: element "chapter" not allowed anywhere; expected element "RevisionHistory", "include-pkg" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:212:12: error: element "chapter" not allowed anywhere; expected element "RevisionHistory", "include-pkg" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:215:75: error: element "chapter" not allowed anywhere; expected element "RevisionHistory", "include-pkg" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:296:15: error: element "chapter" not allowed anywhere; expected element "RevisionHistory", "include-pkg" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:321:15: error: element "chapter" not allowed anywhere; expected element "RevisionHistory", "include-pkg" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:324:78: error: element "OSPs" not allowed here; expected text, element "_", "assignable", "audit-table", "choice", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "f-component", "figure", "no-link", "refinement", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:337:15: error: element "OSPs" not allowed here; expected text, element "_", "assignable", "audit-table", "choice", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "f-component", "figure", "no-link", "refinement", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:339:49: error: element "chapter" not allowed anywhere; expected element "RevisionHistory", "include-pkg" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:468:15: error: element "chapter" not allowed anywhere; expected element "RevisionHistory", "include-pkg" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:487:15: error: element "chapter" not allowed anywhere; expected element "RevisionHistory", "include-pkg" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:490:15: error: element "chapter" not allowed anywhere; expected element "RevisionHistory", "include-pkg" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:492:52: error: element "chapter" not allowed anywhere; expected element "RevisionHistory", "include-pkg" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:494:91: error: attribute "url" not allowed here; expected attribute "id" or "plural"
/home/runner/work/wids/wids/input/wids.xml:494:91: error: attribute "xmlurl" not allowed here; expected attribute "id" or "plural"
/home/runner/work/wids/wids/input/wids.xml:494:91: error: element "base-pp" missing required attribute "id"
/home/runner/work/wids/wids/input/wids.xml:494:97: error: element "cPP" not allowed yet; missing required element "url"
/home/runner/work/wids/wids/input/wids.xml:497:66: error: element "subsection" not allowed anywhere; expected the element end-tag, element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:514:25: error: element "subsection" not allowed anywhere; expected the element end-tag, element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:536:25: error: element "subsection" not allowed anywhere; expected the element end-tag, element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:539:66: error: element "subsection" not allowed anywhere; expected the element end-tag, element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:569:25: error: element "subsection" not allowed anywhere; expected the element end-tag, element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:571:73: error: element "subsection" not allowed anywhere; expected the element end-tag, element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:598:25: error: element "subsection" not allowed anywhere; expected the element end-tag, element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:600:74: error: element "subsection" not allowed anywhere; expected the element end-tag, element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:665:25: error: element "subsection" not allowed anywhere; expected the element end-tag, element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:675:15: error: element "subsection" not allowed anywhere; expected the element end-tag, element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:677:64: error: element "subsection" not allowed anywhere; expected element "description" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:715:23: error: element "subsection" not allowed anywhere; expected element "description" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:718:24: error: element "subsection" not allowed anywhere; expected element "description" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:753:23: error: element "subsection" not allowed anywhere; expected element "description" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:761:113: error: element "ctr-ref" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "no-link", "refinement", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:813:100: error: element "ctr-ref" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "no-link", "refinement", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:817:80: error: element "ctr-ref" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "no-link", "refinement", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:830:74: error: element "ctr-ref" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "no-link", "refinement", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:850:23: error: element "ctr-ref" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "no-link", "refinement", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:854:24: error: element "ctr-ref" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "no-link", "refinement", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:890:23: error: element "ctr-ref" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "no-link", "refinement", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:893:24: error: element "ctr-ref" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "no-link", "refinement", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:977:23: error: element "ctr-ref" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "no-link", "refinement", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:1050:23: error: element "ctr-ref" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "no-link", "refinement", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:1115:23: error: element "ctr-ref" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "no-link", "refinement", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:1119:24: error: element "ctr-ref" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "no-link", "refinement", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:1183:23: error: element "ctr-ref" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "no-link", "refinement", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:1573:23: error: element "ctr-ref" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "no-link", "refinement", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:1576:24: error: element "ctr-ref" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "no-link", "refinement", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:1651:23: error: element "ctr-ref" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "no-link", "refinement", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:1817:23: error: element "ctr-ref" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "no-link", "refinement", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:1820:70: error: element "subsection" not allowed anywhere; expected element "description" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:1865:23: error: element "subsection" not allowed anywhere; expected element "description" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:1868:69: error: element "subsection" not allowed anywhere; expected element "description" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:1977:23: error: element "subsection" not allowed anywhere; expected element "description" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:1979:16: error: element "man-sfrs" incomplete; expected element "description" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:1981:64: error: element "subsection" not allowed anywhere; expected element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:2026:23: error: element "subsection" not allowed anywhere; expected element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:2053:23: error: element "subsection" not allowed anywhere; expected element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:2055:16: error: element "subsection" not allowed anywhere; expected element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:2057:64: error: element "subsection" not allowed anywhere; expected element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:2060:24: error: element "subsection" not allowed anywhere; expected element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:2062:65: error: element "selection-depends" not allowed anywhere; expected element "audit", "audit-event", "comp-lev", "consistency-rationale", "dependencies", "depends", "exportable", "f-element", "importable", "management" or "note"
/home/runner/work/wids/wids/input/wids.xml:2119:23: error: element "selection-depends" not allowed anywhere; expected element "audit", "audit-event", "comp-lev", "consistency-rationale", "dependencies", "depends", "exportable", "f-element", "importable", "management" or "note"
/home/runner/work/wids/wids/input/wids.xml:2122:24: error: element "selection-depends" not allowed anywhere; expected element "audit", "audit-event", "comp-lev", "consistency-rationale", "dependencies", "depends", "exportable", "f-element", "importable", "management" or "note"
/home/runner/work/wids/wids/input/wids.xml:2124:65: error: element "selection-depends" not allowed anywhere; expected element "audit", "audit-event", "comp-lev", "consistency-rationale", "dependencies", "depends", "exportable", "f-element", "importable", "management" or "note"
/home/runner/work/wids/wids/input/wids.xml:2159:23: error: element "selection-depends" not allowed anywhere; expected element "audit", "audit-event", "comp-lev", "consistency-rationale", "dependencies", "depends", "exportable", "f-element", "importable", "management" or "note"
/home/runner/work/wids/wids/input/wids.xml:2167:56: error: element "selection-depends" not allowed anywhere; expected element "audit", "audit-event", "comp-lev", "consistency-rationale", "dependencies", "depends", "exportable", "f-element", "importable", "management" or "note"
/home/runner/work/wids/wids/input/wids.xml:2190:75: error: element "h:b" not allowed here; expected the element end-tag, text or element "int"
/home/runner/work/wids/wids/input/wids.xml:2190:182: error: element "h:b" not allowed here; expected the element end-tag, text or element "int"
/home/runner/work/wids/wids/input/wids.xml:2198:64: error: element "h:b" not allowed here; expected the element end-tag, text or element "int"
/home/runner/work/wids/wids/input/wids.xml:2234:23: error: element "h:b" not allowed here; expected the element end-tag, text or element "int"
/home/runner/work/wids/wids/input/wids.xml:2236:16: error: element "h:b" not allowed here; expected the element end-tag, text or element "int"
/home/runner/work/wids/wids/input/wids.xml:2239:64: error: element "subsection" not allowed anywhere; expected element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:2320:23: error: element "subsection" not allowed anywhere; expected element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:2358:23: error: element "subsection" not allowed anywhere; expected element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:2361:24: error: element "subsection" not allowed anywhere; expected element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:2433:23: error: element "subsection" not allowed anywhere; expected element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:2490:24: error: element "subsection" not allowed anywhere; expected element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:2539:23: error: element "subsection" not allowed anywhere; expected element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:2542:71: error: element "subsection" not allowed anywhere; expected element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:2571:23: error: element "subsection" not allowed anywhere; expected element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:2573:16: error: element "subsection" not allowed anywhere; expected element "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:2576:74: error: element "appendix" not allowed yet; expected element "RevisionHistory", "include-pkg" or "section" or an element from another namespace
/home/runner/work/wids/wids/input/wids.xml:2755:14: error: element "acronyms" not allowed anywhere; expected the element end-tag
